time size
14 50100
15 55100
11 60100
12 65100
13 70100
19 75100
17 80100
21 85100
16 90100
22 95100
26 100100
27 105100
28 110100
25 115100
30 120100
25 125100
22 130100
23 135100
25 140100
28 145100
32 150100
33 155100
34 160100
29 165100
29 170100
31 175100
38 180100
42 185100
40 190100
42 195100
42 200100
35 205100
36 210100
37 215100
38 220100
42 225100
41 230100
43 235100
44 240100
64 245100
52 250100
60 255100
44 260100
65 265100
69 270100
69 275100
59 280100
70 285100
87 290100
70 295100
74 300100
76 305100
132 310100
79 315100
112 320100
79 325100
94 330100
82 335100
74 340100
75 345100
85 350100
74 355100
100 360100
86 365100
87 370100
92 375100
83 380100
113 385100
97 390100
85 395100
105 400100
142 405100
90 410100
88 415100
74 420100
107 425100
95 430100
87 435100
84 440100
100 445100
95 450100
98 455100
217 460100
153 465100
131 470100
98 475100
137 480100
105 485100
170 490100
91 495100
124 500100
118 505100
343 510100
399 515100
265 520100
243 525100
165 530100
213 535100
206 540100
131 545100
126 550100
115 555100
97 560100
100 565100
103 570100
97 575100
137 580100
197 585100
104 590100
102 595100
129 600100
261 605100
106 610100
105 615100
154 620100
108 625100
118 630100
154 635100
116 640100
128 645100
114 650100
209 655100
143 660100
148 665100
153 670100
115 675100
117 680100
279 685100
155 690100
119 695100
192 700100
122 705100
138 710100
203 715100
162 720100
125 725100
209 730100
143 735100
131 740100
309 745100
138 750100
279 755100
228 760100
210 765100
139 770100
143 775100
228 780100
162 785100
149 790100
197 795100
216 800100
537 805100
331 810100
322 815100
309 820100
502 825100
367 830100
677 835100
717 840100
412 845100
418 850100
956 855100
365 860100
518 865100
595 870100
523 875100
564 880100
737 885100
785 890100
493 895100
690 900100
505 905100
587 910100
640 915100
721 920100
848 925100
593 930100
611 935100
747 940100
766 945100
633 950100
908 955100
720 960100
859 965100
810 970100
869 975100
584 980100
443 985100
285 990100
300 995100
267 1000100
649 1005100
614 1010100
340 1015100
250 1020100
496 1025100
344 1030100
456 1035100
291 1040100
330 1045100
751 1050100
361 1055100
513 1060100
706 1065100
838 1070100
613 1075100
498 1080100
713 1085100
605 1090100
913 1095100
537 1100100
566 1105100
576 1110100
795 1115100
